================ Training Loss(%s) ================
Epoch, loss
1, 1457.111
2, 1427.032
3, 1408.203
4, 1394.708
5, 1379.449
6, 1368.376
7, 1354.035
8, 1345.264
9, 1334.894
10, 1326.176
11, 1315.449
12, 1305.728
13, 1300.068
14, 1294.674
15, 1284.029
16, 1278.171
17, 1269.807
18, 1266.712
19, 1256.857
20, 1252.687
21, 1246.245
22, 1239.819
23, 1234.834
24, 1228.833
25, 1222.338
26, 1213.817
27, 1209.955
28, 1204.176
29, 1195.607
30, 1194.453
31, 1188.395
32, 1177.962
33, 1174.132
34, 1168.641
35, 1159.897
36, 1157.750
37, 1147.634
38, 1143.483
39, 1142.704
40, 1092.434
41, 1068.148
42, 1059.096
43, 1051.168
44, 1042.856
45, 1035.954
46, 1032.002
47, 1026.283
48, 1022.564
49, 1015.911
50, 1011.401
51, 1007.375
52, 1002.301
53, 999.743
54, 994.996
55, 991.768
56, 989.321
57, 983.475
58, 979.924
59, 975.580
60, 973.195
61, 968.558
62, 963.221
63, 962.169
64, 958.564
65, 954.876
66, 950.077
67, 946.106
68, 941.621
69, 940.057
70, 935.034
71, 930.991
72, 928.785
73, 925.607
74, 921.788
75, 919.504
76, 914.098
77, 913.411
78, 908.301
79, 904.875
80, 891.481
81, 887.844
82, 885.864
83, 884.891
84, 883.036
85, 882.796
86, 880.523
87, 880.002
88, 879.178
89, 876.512
90, 877.772
91, 877.331
92, 875.064
93, 876.195
94, 875.772
95, 874.444
96, 874.235
97, 871.080
98, 872.742
99, 872.375
100, 870.577
101, 869.206
102, 868.675
103, 869.041
104, 868.072
105, 867.163
106, 867.508
107, 866.855
108, 866.429
109, 865.443
110, 864.230
111, 864.170
112, 863.960
113, 862.414
114, 863.300
115, 861.235
116, 861.323
117, 859.412
118, 860.114
119, 858.890
120, 859.650
